sample_id,tissue,condition,age,Diet,Experiment,file_origin,adipose.processed
Set1_BAT-1,BAT,Cre,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-1-5moCre-_Unmixed.fcs,0.077
Set1_BAT-2,BAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-2-5moMitoFat_Unmixed.fcs,0.084
Set1_BAT-3,BAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-3-5moMitoFat_Unmixed.fcs,0.109
Set1_BAT-4,BAT,Cre,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-4-20moCre-_Unmixed.fcs,0.109
Set1_BAT-5,BAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-5-20moMitoFat_Unmixed.fcs,0.142
Set1_BAT-6,BAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-6-20moMitoFat_Unmixed.fcs,0.152
Set1_BAT-7,BAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-11-25 1-5mo MitoFat_Unmixed.fcs,0.059
Set1_BAT-8,BAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-11-25 2-5mo MitoFat_Unmixed.fcs,0.086
Set1_BAT-9,BAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-11-25 3-5mo MitoFat_Unmixed.fcs,0.071
Set1_BAT-10,BAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-11-25 4-20mo MitoFat_Unmixed.fcs,0.076
Set1_BAT-11,BAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-11-25 5-20mo MitoFat_Unmixed.fcs,0.125
Set1_BAT-12,BAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-BAT-11-25 6-20mo MitoFat_Unmixed.fcs,0.097
Set1_eWAT-1,eWAT,Cre,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-1-5moCre-_Unmixed.fcs,0.329
Set1_eWAT-2,eWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-2-5moMitoFat_Unmixed.fcs,0.308
Set1_eWAT-3,eWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-3-5moMitoFat_Unmixed.fcs,0.442
Set1_eWAT-4,eWAT,Cre,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-4-20moCre-_Unmixed.fcs,0.84
Set1_eWAT-5,eWAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-5-20moMitoFat_Unmixed.fcs,0.476
Set1_eWAT-6,eWAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-6-20moMitoFat_Unmixed.fcs,0.683
Set1_eWAT-7,eWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-11-25 1-5mo MitoFat_Unmixed.fcs,0.187
Set1_eWAT-8,eWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-11-25 2-5mo MitoFat_Unmixed.fcs,0.281
Set1_eWAT-9,eWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-11-25 3-5mo MitoFat_Unmixed.fcs,0.24
Set1_eWAT-10,eWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-11-25 4-20mo MitoFat_Unmixed.fcs,0.286
Set1_eWAT-11,eWAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-11-25 5-20mo MitoFat_Unmixed.fcs,0.583
Set1_eWAT-12,eWAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-eWAT-11-25 6-20mo MitoFat_Unmixed.fcs,0.406
Set1_iWat-1,iWAT,Cre,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-iWAT-1-5moCre-_Unmixed.fcs,0.202
Set1_iWat-2,iWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-iWAT-2-5moMitoFat_Unmixed.fcs,0.196
Set1_iWat-3,iWAT,MitoFat,5mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-iWAT-3-5moMitoFat_Unmixed.fcs,0.251
Set1_iWat-4,iWAT,Cre,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-iWAT-4-20moCre-_Unmixed.fcs,0.415
Set1_iWat-5,iWAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-iWAT-5-20moMitoFat_Unmixed.fcs,0.266
Set1_iWat-6,iWAT,MitoFat,20mo,chow,Set1,2020-11-23 MitoFat 5mo vs 20mo-iWAT-6-20moMitoFat_Unmixed.fcs,0.4
